dates,WOPR:PRO1,WWPR:PRO1,WOPR:PRO2,WWPR:PRO2,WOPR:PRO3,WWPR:PRO3,WWIR:INJ1
2023-02-05,2578.2042319359743,-0.002049037041368184,2074.9396451059706,0.0025599072390737844,2498.9278927887867,0.004280423280700726,4532.678127501723
2024-03-11,3253.902189794448,0.037153179563700504,2180.3340859135724,9.331133953962688e-05,3119.8577686003277,-0.008494680248984475,5147.357268773142
2025-04-15,2454.2492832740577,0.48070203639130105,2472.084127199495,0.04473831813045719,3309.7031993067703,-0.0007257601035295953,5198.423557960116
2026-05-20,2794.807868198391,2.9407811683760823,2663.8940657666267,0.29610046760086334,3019.9828186249642,0.025876861101430705,4343.600896097791
2027-06-24,2427.2265802169977,12.398574330132304,2519.7082027783513,1.0968216256691883,2893.840008444232,0.12637283244891342,4485.88528256192
2028-07-28,2412.9309607547516,30.210189174488953,2632.462884525936,3.7921174228904904,3384.9425345628133,0.41583500212203156,4538.3889258655345
2029-09-01,2533.258322834055,79.31747248267374,2169.7079021054883,11.01924878769781,2852.6318560665195,1.0839440815589527,3969.173932966913
2030-10-06,2179.244848437228,204.86147734586848,2309.3188559720184,24.94969035984491,3025.7317023257815,2.7377348001944313,3970.954690006117
2031-11-10,2205.069238871487,373.32147242635176,2168.7689845399395,47.13542157012543,2416.3483915430847,7.151038152751751,4917.358690810593
2032-12-14,1539.5350421730163,621.9935711960316,1902.1107395676108,115.84467264636838,2739.9274645198543,12.64036156000062,4709.5739154800585
