3206.1643,1987.9631,1065.9841,0.13173291,3.8683615e-06,1.1263041e-07,5623.6016,1885.6818,1257.3524
3266.9717,2012.8158,1047.4318,2.4454727,0.000111172936,2.884899e-06,6115.081,1974.2863,1251.7607
3289.8975,2104.009,1104.5723,18.57857,0.0014210797,3.2323213e-05,6162.225,2003.3813,1260.366
3153.4924,2199.685,1172.2677,84.85923,0.01113214,0.00021175515,6067.3267,1989.0044,1247.8177
2804.8997,2298.32,1227.9575,302.24408,0.06683203,0.0009664455,5910.1406,1955.4485,1228.9327
2377.446,2370.2407,1263.4275,692.1582,0.32635704,0.0034318906,5794.84,1931.1086,1212.0724
1959.8289,2413.9614,1283.7205,1123.388,1.2904354,0.01007478,5721.0337,1922.3533,1202.4875
1585.4658,2429.8596,1294.185,1587.4271,4.191758,0.025624914,5686.736,1923.3035,1197.3948
1308.9434,2411.0825,1296.4686,2011.7366,11.3020115,0.058260355,5696.123,1937.3766,1200.2947
1097.5681,2360.5327,1295.3679,2390.4883,25.935778,0.120828636,5716.646,1954.3308,1205.7493
